Step,Value
37000,-277.4156563269252
37050,-302.6375010749296
37100,-253.55304597699458
37150,-311.9474781733387
37200,-326.3803176429347
37250,-326.0275070629183
37300,-235.96055013786855
37350,-245.318316924
37400,-257.92440190852585
37450,-267.64714987942517
37500,-303.86536270343805
37550,-256.86885892459964
37600,-294.83106460936824
37650,-303.07711165565246
37700,-270.2777436992858
37750,-348.8006453608856
37800,-251.18161050378112
37850,-243.7006773462615
37900,-313.8301784418905
37950,-296.7457574574025
38000,-291.06839120317875
38050,-268.1559597080821
38100,-304.72428457723043
38150,-260.077890255373
38200,-257.2477682088775
38250,-347.8539895040932
38300,-284.04483659539784
38350,-268.037457754119
38400,-271.035904193044
38450,-323.2760434323564
38500,-356.4823575740206
38550,-219.42843682903833
38600,-363.81675200200095
38650,-271.79771836789104
38700,-259.2893199133238
38750,-338.33033627086485
38800,-258.54718564107657
38850,-271.26429349607963
38900,-396.4860857052328
38950,-295.828515373212
39000,-289.6629182310268
39050,-261.34043454221336
39100,-302.8144998755427
39150,-330.6466993429967
39200,-304.88316206774886
39250,-296.9706645222795
39300,-246.26131193917493
39350,-323.85580811472255
39400,-251.9997644832583
39450,-323.71381344410696
39500,-317.93467301975426
39550,-290.17081643774503
39600,-349.4303459838539
39650,-281.8497836187213
39700,-358.3129428293607
39750,-285.8934491096286
39800,-283.71144611594286
39850,-285.871382336851
39900,-262.82347549398605
39950,-319.56619708885336
40000,-297.13452718307883
